date,AQI
1394/01/21,69
1394/01/22,70
1394/01/23,58
1394/01/24,84
1394/01/25,58
1394/01/26,43
1394/01/27,51
1394/01/28,109
1394/01/29,120
1394/01/30,101
1394/01/31,62
1394/02/01,69
1394/02/02,100
1394/02/03,131
1394/02/04,105
1394/02/05,109
1394/02/06,56
1394/02/07,63
1394/02/08,67
1394/02/09,85
1394/02/10,92
1394/02/11,120
1394/02/12,110
1394/02/13,91
1394/02/14,60
1394/02/15,51
1394/02/16,80
1394/02/17,76
1394/02/18,55
1394/02/19,60
1394/02/20,76
1394/02/21,67
1394/02/22,68
1394/02/23,82
1394/02/24,96
1394/02/25,114
1394/02/26,87
1394/02/27,58
1394/02/28,77
1394/02/29,65
1394/02/30,70
1394/02/31,104
1394/03/01,84
1394/03/02,70
1394/03/03,72
1394/03/04,83
1394/03/05,75
1394/03/06,74
1394/03/07,84
1394/03/08,98
1394/03/09,144
1394/03/10,90
1394/03/11,91
1394/03/12,100
1394/03/13,106
1394/03/14,91
1394/03/15,78
1394/03/16,78
1394/03/17,84
1394/03/18,162
1394/03/19,132
1394/03/20,120
1394/03/21,105
1394/03/22,95
1394/03/23,95
1394/03/24,140
1394/03/25,133
1394/03/26,146
1394/03/27,131
1394/03/28,102
1394/03/29,91
1394/03/30,78
1394/03/31,82
1394/04/01,107
1394/04/02,125
1394/04/03,112
1394/04/04,103
1394/04/05,85
1394/04/06,107
1394/04/07,127
1394/04/08,121
1394/04/09,124
1394/04/10,117
1394/04/11,107
1394/04/12,86
1394/04/13,83
1394/04/14,130
1394/04/15,103
1394/04/16,96
1394/04/17,88
1394/04/18,91
1394/04/19,77
1394/04/20,77
1394/04/21,77
1394/04/22,85
1394/04/23,85
1394/04/24,83
1394/04/25,85
1394/04/26,103
1394/04/27,114
1394/04/28,127
1394/04/29,111
1394/04/30,92
1394/04/31,80
1394/05/01,73
1394/05/02,79
1394/05/03,73
1394/05/04,71
1394/05/05,77
1394/05/06,71
1394/05/07,82
1394/05/08,76
1394/05/09,73
1394/05/10,75
1394/05/11,83
1394/05/12,75
1394/05/13,67
1394/05/14,77
1394/05/15,73
1394/05/16,73
1394/05/17,68
1394/05/18,91
1394/05/19,154
1394/05/20,80
1394/05/21,79
1394/05/22,84
1394/05/23,78
1394/05/24,72
1394/05/25,87
1394/05/26,72
1394/05/27,68
1394/05/28,81
1394/05/29,86
1394/05/30,79
